EnterpriseName	Username	Headline	Password	Email	Role	AccType	ProfilePicture	CoverPhoto	EnterpriseDescription	CEO Headquarters Industry
MongoDB	giveawayfootage	I love eating toasted cheese and tuna sandwiches.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	dobey@att.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Netflix	stoopmojo	I want more detailed information.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	mallanmba@mac.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
YouTube	augmentedpalmer	He ran out of money so he had to stop playing poker.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	sharon@live.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Verizon	splintschoopy	She was too short to see over the fence.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	miltchev@sbcglobal.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Fannie Mae	luckycleveland	She did not cheat on the test for it was not the right thing to do.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	jshirley@sbcglobal.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Home Depot	artistaroma	What was the person thinking when they discovered cow’s milk was fine for human consumption… and why did they do it in the first place!?	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	dsowsy@yahoo.ca	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Wells Fargo	drivecarpus	I will never be this young again. Ever. Oh damn… I just got older.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	nasor@hotmail.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Anthem	imagegarvan	Joe made the sugar cookies; Susan decorated them.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	rtanter@optonline.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Microsoft	croonflipping	When I was little I had a car door slammed shut on my hand. I still remember it quite vividly.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	boftx@yahoo.ca	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Comcast	jamiejavelin	Christmas is coming.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	augusto@mac.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Dell	waylonflame	The lake is a long way from here.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	mchugh@sbcglobal.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Target	lacklustertess	Rock music approaches at high velocity.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	tbmaddux@verizon.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Lowe's	fragileremote	Mary plays the piano.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	qmacro@att.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
MetLife	showoffattribute	I was very proud of my nickname throughout high school but today- I couldn’t be any different to what my nickname was.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	gregh@att.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
UPS	retainingshaping	The stranger officiates the meal.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	eidac@msn.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Aetna	smokeyjoram	The waves were crashing on the shore; it was a lovely sight.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	juerd@live.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
FedEx	fiddlervolcanoes	She always speaks to him in a loud voice.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	marioph@verizon.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Prudential	fifififi	A song can make or ruin a person’s day if they let it get to them.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	wainwrig@gmail.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Pfizer	erasureankara	We have a lot of rain in June.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	kuparine@live.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
HP	edlinghamhacking	A purple pig and a green donkey flew a kite in the middle of the night and ended up sunburnt.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	maikelnai@gmail.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Lockheed Martin	resealmarsupial	I really want to go to work but I am too sick to drive.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	nicktrig@outlook.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
AIG	monctonspotted	Let me help you with your baggage.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	jrifkin@att.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Cisco	disastergravity	There were white out conditions in the town; subsequently the roads were impassable.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	fglock@att.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Caterpillar	purgingswadge	The old apple revels in its authority.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	fglock2@att.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Allstate	pulsefaceplate	Is it free?	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	earmstro@optonline.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Coca-cola	debtdime	Last Friday in three week’s time I saw a spotted striped blue worm shake hands with a legless lizard.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	barlow@mac.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Time Warner	tangiblerichard	Check back tomorrow; I will see if the book has arrived.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	gward@mac.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
